times,overlaps
0,(0.06249882345516257+0j)
1,(0.005950702561846833+0.07199794525992846j)
2,(-0.08702823866615307+0.03377415706061106j)
3,(-0.08224623147328862-0.08109546277397202j)
4,(0.04003150236175383-0.12827088023716718j)
5,(0.14673904829012913-0.028010918598363282j)
6,(0.10179757280248854+0.1255456580283309j)
7,(-0.06651276276954923+0.15895576454537794j)
8,(-0.18096039592622004+0.018268589758516883j)
9,(-0.1077871121494692-0.15649644846378327j)
10,(0.08722155132786605-0.17578975599080035j)
11,(0.20010287412873634-0.009746076824353167j)
12,(0.10731683725428273+0.1717428195285992j)
13,(-0.09765327040199565+0.17799549074638701j)
14,(-0.20190046228775113+0.0020804346789967797j)
15,(-0.09964652682049872-0.1722606419639467j)
16,(0.09828200873791426-0.1674129801644161j)
17,(0.18727419954451197+0.0028577117040297657j)
18,(0.08557173295743506+0.15687286351963053j)
19,(-0.08926212497698519+0.14295713370497562j)
20,(-0.1567565752010071-0.007293375115924858j)
21,(-0.06421138883130179-0.128764715707159j)
22,(0.07358017648875331-0.10656620946099546j)
23,(0.11332956657778007+0.01251349883742653j)
24,(0.03521701343358506+0.09130063351554427j)
25,(-0.0556570355912786+0.05959278068449546j)
26,(-0.06186220808232838-0.022284466239288182j)
27,(0.0011718165181708057-0.05167576096881402j)
28,(0.04121302903866096-0.006935040288592322j)
29,(0.009554851713524815+0.03849565443898845j)
30,(-0.04284769353370635+0.01711977065637344j)
31,(-0.03570945756513343-0.04540711588978939j)
32,(0.034765072837945915-0.06222023298626935j)
33,(0.08486337468218702+0.004412138477510628j)
34,(0.042022012148570896+0.08858611466957361j)
35,(-0.06289529729861672+0.09022200761277668j)
36,(-0.12008841009523581-0.00875406221288299j)
37,(-0.05909677573881572-0.114729796121298j)
38,(0.06949618368892921-0.11664168122587078j)
39,(0.14047447589411294-0.003935007637401832j)
40,(0.08092826340819059+0.11832626825903944j)
41,(-0.05527068138618821+0.1333141632527925j)
42,(-0.14090465270493385+0.02718695371579142j)
43,(-0.09913871178104003-0.10031140982234776j)
44,(0.026913683059102484-0.13442807239926957j)
45,(0.12149737628283405-0.05141984237859122j)
46,(0.10601954297332067+0.06773881686894198j)
47,(0.004403012201164607+0.11892191939521485j)
48,(-0.08922593223657885+0.06725148377643808j)
49,(-0.09911680305482243-0.03212570808673902j)
50,(-0.028494166440704058-0.09226280855103984j)
51,(0.054438738294126154-0.07040887130034139j)
52,(0.081544707320065+0.0037881546696829273j)
53,(0.03976391023123043+0.06304054127432296j)
54,(-0.0265268942535842+0.06229620558442456j)
55,(-0.05990816764204098+0.012038561850975666j)
56,(-0.038953655502830455-0.03831365424681721j)
57,(0.009000858657952013-0.0473577662079283j)
58,(0.03847501168753528-0.016065322501665414j)
59,(0.028923917200487696+0.01964110310604335j)
60,(-0.0005504327545607559+0.027821113770805546j)
61,(-0.01700778824315856+0.010663196434379806j)
62,(-0.010532265790033073-0.004611186298428627j)
63,(-0.0009721731028415979-0.0017951205847044898j)
64,(-0.007535337264661809+0.004728092635040558j)
65,(-0.019249255413665012-0.007871265209087451j)
66,(-0.006667988937888626-0.03324735431146346j)
67,(0.034310307290667155-0.03378639097301941j)
68,(0.06191043168445694+0.013479527791217112j)
69,(0.028273196193236275+0.0740455760146004j)
70,(-0.055963483374666015+0.07735743002604258j)
71,(-0.11145482820723958-0.005156706364758608j)
72,(-0.06462818695375445-0.10940711959839906j)
73,(0.06258793341533272-0.12688045125661299j)
74,(0.1532189432179808-0.018369610726588475j)
75,(0.10572869284395897+0.12684176103943967j)
76,(-0.05181131079969593+0.16559417200954812j)
77,(-0.17286882720116498+0.047028203387265294j)
78,(-0.13413976152805301-0.12281665133930991j)
79,(0.03321283396263458-0.1785789635549374j)
80,(0.1667600094268656-0.0638816094711313j)
81,(0.1361258979354632+0.10665226887263243j)
82,(-0.0222738668612229+0.16356192900815625j)
83,(-0.1443444663498478+0.057770015983225995j)
84,(-0.1116474622857194-0.09205059080068968j)
85,(0.027348282548108137-0.13050992228073285j)
86,(0.11798003747355443-0.03095901857442928j)
87,(0.07140247725549477+0.08508124157217464j)
88,(-0.04434943836283531+0.09075995886644987j)
89,(-0.09194413345820947-0.005739146789559326j)
90,(-0.02514418838516879-0.08094156723936428j)
91,(0.06398467266419039-0.04708800652080367j)
92,(0.062152119944549764+0.04532091745982342j)
93,(-0.025832730720475275+0.07360195535080769j)
94,(-0.08316959502058366-0.003055082048854216j)
95,(-0.02678021990280593-0.08854757686553585j)
96,(0.08280539739523657-0.06482605902940833j)
97,(0.10564343403081129+0.05724500738211831j)
98,(-0.007292899253295476+0.13619167119391468j)
99,(-0.1398572202002928+0.06162069381345149j)
