times,overlaps
0,(0.0625+0j)
1,(0.007079128963426733+0.06224582207285645j)
2,(-0.06809548207248695+0.02768606273309429j)
3,(-0.06063926854652913-0.059114058174879594j)
4,(0.02784211167939846-0.08777171074196424j)
5,(0.09464781024202139-0.015635904101283765j)
6,(0.05726550051365784+0.07976392884274854j)
7,(-0.0480984795473406+0.0884485107120437j)
8,(-0.10389876083793684-0.004781247502199427j)
9,(-0.043378748522061854-0.09865281136969006j)
10,(0.07092219148672159-0.08597669344449856j)
11,(0.1122700347974164+0.025156271100810396j)
12,(0.029456551078526245+0.11522788797918054j)
13,(-0.09236082303617982+0.08177212457762037j)
14,(-0.11976300061577486-0.04582958758881004j)
15,(-0.016184854245446467-0.13227116314511794j)
16,(0.11299601344102587-0.07965100698035213j)
17,(0.12830109118855715+0.06370704957641712j)
18,(0.005757323829426869+0.14827257092606283j)
19,(-0.13152177104931767+0.07944183166991008j)
20,(-0.13806903773687174-0.07855539781500613j)
21,(0.0003128519964693717-0.1637212308137248j)
22,(0.14605575596727455-0.08318518642486238j)
23,(0.14830325394870691+0.0868626318031597j)
24,(-0.0005301471498252398+0.17501168259851974j)
25,(-0.15322223071255242+0.08929823201781834j)
26,(-0.1559923609030428-0.08695934586453931j)
27,(-0.0052180000902159965-0.1783965645846799j)
28,(0.14889566043333388-0.0952875012432165j)
29,(0.15534524726603313+0.07698345572885364j)
30,(0.013785948241902924+0.16759033557072697j)
31,(-0.13060410898806085+0.09409508162838673j)
32,(-0.13934713216349814-0.05980424460645081j)
33,(-0.01844345190161258-0.13881898507717522j)
34,(0.09952767250115985-0.07755968154153844j)
35,(0.10182438111162513+0.042224501266336395j)
36,(0.008928895046118449+0.09212574788035716j)
37,(-0.06351799719421233+0.03770011293963809j)
38,(-0.042586289289174226-0.03613396755493845j)
39,(0.023911512046335386-0.035956877686207506j)
40,(0.0356557510666374+0.026625582785327978j)
41,(-0.029932876112756523+0.05288646715977598j)
42,(-0.08318404445730396-0.014456942559558629j)
43,(-0.030641714991325494-0.10654172642980406j)
44,(0.09764674411578875-0.09755005781286702j)
45,(0.15953879988605374+0.04121017143798256j)
46,(0.055693754758840086+0.18190044884000317j)
47,(-0.13973613798100942+0.16156960770074985j)
48,(-0.2317023493981615-0.033923958428290345j)
49,(-0.10403276404365287-0.2287052901013788j)
50,(0.14235809223991086-0.2226989724952521j)
51,(0.27289798513010366-0.0021505192086249056j)
52,(0.1527955459751046+0.23069093021649484j)
53,(-0.10961965528049944+0.2527202684772198j)
54,(-0.2654339355258899+0.04431147111310444j)
55,(-0.17310794720044492-0.19088231225995322j)
56,(0.06410859400978447-0.2328229002480929j)
57,(0.21190056778865696-0.06277869807385517j)
58,(0.1455112409545937+0.13271712681727793j)
59,(-0.036668813800709514+0.1662686899200442j)
60,(-0.1370833351983422+0.03811378418928379j)
61,(-0.07422054684839949-0.08783136585473407j)
62,(0.04676041910651475-0.07885043947405394j)
63,(0.07337763808142048+0.025103943929577897j)
64,(-0.014327329289867328+0.07615828759219957j)
65,(-0.08975868574484833+0.0036278766978189818j)
66,(-0.040829799671160884-0.10017657788694095j)
67,(0.08748796558582396-0.09287262952342018j)
68,(0.1396774439131861+0.0404223693424039j)
69,(0.03435100626584303+0.1565504662487536j)
70,(-0.12845941442794584+0.11371576721380328j)
71,(-0.16917349295493228-0.05890940043924213j)
72,(-0.03149155154217865-0.18054868846605165j)
73,(0.14434877603265636-0.11502906525590686j)
74,(0.16877106682105905+0.07302549078404122j)
75,(0.012596648988726686+0.1817931947412055j)
76,(-0.15538739671126087+0.09209569234447133j)
77,(-0.15067316633245637-0.0985195696143824j)
78,(0.022915607063125388-0.17959871476380518j)
79,(0.17420880149131268-0.05899154817278784j)
80,(0.13332526547804274+0.13306728156772613j)
81,(-0.05998944918056498+0.18423542144512828j)
82,(-0.19657766402248955+0.03288411133113482j)
83,(-0.12468965257853817-0.16180449441993183j)
84,(0.08381391034146776-0.19040496759775627j)
85,(0.2092587866062503-0.01926159345081052j)
86,(0.11932313395685448+0.17318885140244206j)
87,(-0.0911413444615811+0.18742901137392676j)
88,(-0.20399814816224443+0.013143966536485268j)
89,(-0.10910765983384382-0.1656898226557758j)
90,(0.08623965005241298-0.1697205998676636j)
91,(0.1801944139667278-0.008650093647222967j)
92,(0.09017238175954068+0.14226221718777632j)
93,(-0.07290829148613281+0.13609955632591175j)
94,(-0.13824349157628646+0.0021848701080298856j)
95,(-0.0586304066657696-0.10482882059074171j)
96,(0.05616165236957801-0.08312189834939249j)
97,(0.07850764274558533+0.014685487279263694j)
98,(0.006351734613503742+0.06100536303900515j)
99,(-0.04999169558852072+0.009690027474585958j)
100,(-0.011672162837933667-0.0552316602893124j)
101,(0.06915502480551557-0.03070117270170687j)
102,(0.07264404702129139+0.0701753592022116j)
103,(-0.03671356047211558+0.12266923832253628j)
104,(-0.15029256620003703+0.03590958673114647j)
105,(-0.12676733303997675-0.12641440057925424j)
106,(0.04291879582150813-0.19589887445538992j)
107,(0.20414104001182398-0.07741912919021077j)
108,(0.18812062024210174+0.13552880514600818j)
109,(-0.008986896431548722+0.2406750293530668j)
110,(-0.20901072384805794+0.1282770268280228j)
111,(-0.22251913437398796-0.1030055675984565j)
112,(-0.036228194760406035-0.2383656294026816j)
