times,overlaps
0,(0.05774247078195542+0.02391771452281811j)
1,(-0.02049417890657399+0.06467857764171873j)
2,(-0.08486091178695303+0.0022719990846339884j)
3,(-0.04851388060377342-0.08552297422102811j)
4,(0.051212054377868-0.0891409408759268j)
5,(0.09884423497518702+0.0006699900988387866j)
6,(0.03911175368394998+0.08172607402435494j)
7,(-0.05727217608797103+0.06170149095068354j)
8,(-0.0772890406870668-0.03299758455624292j)
9,(0.0014972641573480286-0.0890221628805188j)
10,(0.0856404173911463-0.039553913560772626j)
11,(0.07632723574791704+0.05832534465077185j)
12,(-0.015564094289151826+0.09190155250210742j)
13,(-0.08401507554908627+0.02451068998529299j)
14,(-0.05235952730552956-0.06371904622848512j)
15,(0.03920259241664585-0.0710417597938442j)
16,(0.0831189646403561+0.008542483141730877j)
17,(0.029663379621480315+0.08156830546172461j)
18,(-0.05859366614358681+0.06520032956010108j)
19,(-0.08242312997867332-0.019401861366037755j)
20,(-0.019489088222523914-0.07606374966209593j)
21,(0.05509804739611267-0.045645239777959j)
22,(0.05905499486291775+0.030510466431606195j)
23,(-0.005071805417594152+0.06416413244451157j)
24,(-0.05987817555360532+0.022031104010953394j)
25,(-0.0457664784142287-0.04238863104445905j)
26,(0.014847623914619317-0.05669498328692869j)
27,(0.051180314599986676-0.011731706952620866j)
28,(0.02805094360031095+0.03563200758416716j)
29,(-0.019510277235752514+0.033793401712881685j)
30,(-0.03446428729855874-0.006751057939888923j)
31,(-0.004714213051579793-0.03348975680115094j)
32,(0.0292417656101047-0.016878623268078263j)
33,(0.0272843237346973+0.01910719050161872j)
34,(-0.0046792312132344265+0.031218659631394117j)
35,(-0.02736687961650173+0.008549251362261397j)
36,(-0.01680177177699018-0.0194455181146382j)
37,(0.011162546137583784-0.021352522116228373j)
38,(0.024258758411778686+0.0016280701410735197j)
39,(0.01096870893141004+0.02267829266296186j)
40,(-0.011970921275582181+0.02219065225668059j)
41,(-0.023136525976408293+0.005142889561110791j)
42,(-0.017655369793236828-0.011325958607632455j)
43,(-0.0045447220878401095-0.017398191486906585j)
44,(0.0074496174228461465-0.013820666564675876j)
45,(0.014285343040914101-0.0036142615114460666j)
46,(0.011884591987481824+0.009882954169687397j)
47,(-0.0022013700548139652+0.017884136395201523j)
48,(-0.019568709041611718+0.009624331472855244j)
49,(-0.022204787685050457-0.01262920771423915j)
50,(-0.001996553666130522-0.027963680208975054j)
51,(0.023434940404939555-0.016685048925098j)
52,(0.025090085540395664+0.012970510214210706j)
53,(-0.002460541483536711+0.02778084690278647j)
54,(-0.028354970778786723+0.007137036157365297j)
55,(-0.01822294295562538-0.027225846885722077j)
56,(0.021288224319983902-0.031306384579504j)
57,(0.04315425707988182+0.0076454480745674295j)
58,(0.01365509130617598+0.04830855756947006j)
59,(-0.041402723137411696+0.03848543949702776j)
60,(-0.05882013842168289-0.02031707187841783j)
61,(-0.010921788409824072-0.06591144624799244j)
62,(0.0553254573315756-0.043006653821190136j)
63,(0.06591477931024475+0.02923914720709507j)
64,(0.005199845058205876+0.07276673471720552j)
65,(-0.06138989303137096+0.03821355223637232j)
66,(-0.05983883517815156-0.03574196191242905j)
67,(0.005880054577264034-0.06478787363578396j)
68,(0.056802077976435085-0.017692689006796117j)
69,(0.03231049590957953+0.04532880654215874j)
70,(-0.03551537892291248+0.04401751314170052j)
71,(-0.058392287933022785-0.022978649729398296j)
72,(9.776246139638067e-05-0.07198789737498701j)
73,(0.07434863449087889-0.03390107795885304j)
74,(0.07024688888124164+0.05707884633269118j)
75,(-0.01997829626248484+0.09587838010755953j)
76,(-0.09974837527055402+0.028843448404940936j)
77,(-0.07554310167832393-0.07700188394819996j)
78,(0.03203191015014581-0.10470711820819364j)
79,(0.10617903686523152-0.021276431765848945j)
80,(0.065489845253593+0.08125635067340414j)
81,(-0.0418397559508938+0.0893090013515033j)
82,(-0.09273025031228158-0.0018386284443774386j)
83,(-0.0315196726202784-0.08296549676851737j)
84,(0.06576053958714784-0.05864358032511137j)
85,(0.08115413205752096+0.04094683166285382j)
86,(-0.005985420987004934+0.09560476203610477j)
87,(-0.09393796862413181+0.03693556897594769j)
88,(-0.07776538945208152-0.07019229809509417j)
89,(0.02713339566282337-0.102723665865603j)
90,(0.10239653611694877-0.023034391402210263j)
91,(0.06451535697919568+0.07760301344800745j)
92,(-0.03898202414929043+0.08626057493250754j)
93,(-0.08734521985003793-0.0005018953232768311j)
94,(-0.028989029279478436-0.07557115214302348j)
95,(0.05980456143154028-0.049925831754659936j)
96,(0.06796260064837112+0.04208321895888613j)
97,(-0.017002409247879227+0.08489098941968545j)
98,(-0.09338567563399444+0.020374150568164332j)
99,(-0.06542979004797729-0.08138697165612752j)
