times,overlaps
0,(0.0625+0j)
1,(-0.015541868355913308+0.08071582809268454j)
2,(-0.1192835516759408+0.00037441781618993453j)
3,(-0.053339233935488166-0.14478159779111224j)
4,(0.13440283400493735-0.12289903408452543j)
5,(0.1838293221875234+0.08808380756989465j)
6,(-0.01764883434256494+0.22282333807931903j)
7,(-0.23574662904366417+0.06800060205992745j)
8,(-0.16344277158543877-0.21635030213042872j)
9,(0.15480188836830605-0.25664447700948073j)
10,(0.32491893514629877+0.048396041778510236j)
11,(0.0893791968439467+0.3441972331417127j)
12,(-0.301875880657981+0.2324191801239977j)
13,(-0.35345644534439064-0.20029338498153348j)
14,(0.05080538735324608-0.43057493975674643j)
15,(0.44518099303011094-0.13020403864456595j)
16,(0.3174045218327882+0.3812087759308894j)
17,(-0.23376385852500736+0.4733248785866223j)
18,(-0.5569900636046555-0.020210783632194647j)
19,(-0.22026375235400797-0.5407910538651071j)
20,(0.42063557343643526-0.4400768137824651j)
21,(0.5966502605224486+0.21309920420708128j)
22,(0.051130037367891915+0.6570584427478812j)
23,(-0.6001897549367978+0.32888502791443514j)
24,(-0.5665446614271177-0.42443423556423837j)
25,(0.155633700865332-0.7114365488306413j)
26,(0.7289431452811509-0.15607162349590323j)
27,(0.45088765173829426+0.6125848024808407j)
28,(-0.38200080645081247+0.6745372925077535j)
29,(-0.7864358110416758-0.07548711407870431j)
30,(-0.25617263725802464-0.7634570538740842j)
31,(0.6038412580111854-0.5554688048078407j)
32,(0.767000790173018+0.3302590749711086j)
33,(0.011954977753915257+0.8487993340049484j)
34,(-0.781931486637119+0.3628880348866287j)
35,(-0.660064450568321-0.5744870118132972j)
36,(0.2590920853931345-0.8499228855108347j)
37,(0.8955320223505057-0.11318128284820021j)
38,(0.47900735008331985+0.7816443337176713j)
39,(-0.5201967492531332+0.770141043486616j)
40,(-0.9262871531444777-0.15426626115379471j)
41,(-0.24709468452760286-0.9122386922064889j)
42,(0.7292937649480777-0.6057551802269958j)
43,(0.8543303748283564+0.4132066843613747j)
44,(-0.022982453475039733+0.9484921576646193j)
45,(-0.8717580484536712+0.3704537436198797j)
46,(-0.694793219201641-0.6384810518407126j)
47,(0.29380108894444046-0.8904443850904868j)
48,(0.9251724715609564-0.09587978526120411j)
49,(0.46030848326626184+0.7995674507301489j)
50,(-0.5408964337825268+0.7399251351418339j)
51,(-0.89158070147007-0.19390284393488544j)
52,(-0.1846163985797542-0.8906566235949553j)
53,(0.7354778601186482-0.530680612045039j)
54,(0.782793383492256+0.45134398685046306j)
55,(-0.08834439256919432+0.8946564567794075j)
56,(-0.8452391336422366+0.28755069146082757j)
57,(-0.6067378673445211-0.6436267949429666j)
58,(0.3286036944805954-0.8094594654610713j)
59,(0.8588771845796372-0.03801840243862847j)
60,(0.38457609121285496+0.7499038981902237j)
61,(-0.5100293921079881+0.6458585244618774j)
62,(-0.7774044093263313-0.19183810141859212j)
63,(-0.14030187719190293-0.7639999772405079j)
64,(0.620147193398723-0.4256887378522143j)
65,(0.6197576203107718+0.3824040871148722j)
66,(-0.09775103660852835+0.6990952347642576j)
67,(-0.6597677497966409+0.18565128881055176j)
68,(-0.423235806408385-0.5144096961110242j)
69,(0.29103074187189937-0.5780787490756774j)
70,(0.6270653786604778+0.030585544021302036j)
71,(0.21991450333001236+0.5663983920213551j)
72,(-0.4123877190416812+0.41686235652651393j)
73,(-0.5280977692051976-0.19762704099554462j)
74,(-0.03509923798950891-0.5384368503983498j)
75,(0.4530824073629397-0.24085948039378074j)
76,(0.38276784903638317+0.2970586497911585j)
77,(-0.1083709841785847+0.4411643525534759j)
78,(-0.4168730183709457+0.07321494071784244j)
79,(-0.2161947482111694-0.3272471210795175j)
80,(0.19858303975867952-0.3021668816777484j)
81,(0.32599868190263115+0.059247715412766855j)
82,(0.06505211734392516+0.2940659879883962j)
83,(-0.22204883905991252+0.1549424348551363j)
84,(-0.2008144819509638-0.1315688710333061j)
85,(0.044690319051927274-0.20477403691398594j)
86,(0.17890214220328193-0.022501189433017266j)
87,(0.06394676555536845+0.13964662980585302j)
88,(-0.10129861763225471+0.08307167489481362j)
89,(-0.08880823679394123-0.07192481047065069j)
90,(0.05257215762233057-0.09096356005060169j)
91,(0.09648029245720052+0.0387522446494822j)
92,(-0.023542960917922053+0.1071854515601964j)
93,(-0.12006141746659052-0.0013711656590835886j)
94,(-0.029909729482315683-0.13001700846214986j)
95,(0.13236098552688833-0.07005946943708675j)
96,(0.11819318062104288+0.12229118763720645j)
97,(-0.09299642264238887+0.17160157335569906j)
98,(-0.222042957980081-0.0366414220110486j)
99,(-0.05043370707993573-0.2538414120087522j)
