times,overlaps
0,0j
1,(-0.019342204423259186+0.015862843456567077j)
2,(-0.048575396713889274-0.008662447303783263j)
3,(-0.03779038870708642-0.059806698778205804j)
4,(0.019586580989481843-0.0830184055332783j)
5,(0.07419786953708854-0.04845616286406852j)
6,(0.07684057195189724+0.011264451552970695j)
7,(0.03597659748636211+0.03791577700723841j)
8,(0.006941626793227324+0.015441323947679568j)
9,(0.02553988033628544-0.012778135714324523j)
10,(0.06587974819733884+0.0023113308106269543j)
11,(0.07275403822672241+0.05576057917721141j)
12,(0.02876827612362847+0.09468452722570683j)
13,(-0.024876990571707072+0.08181480729825405j)
14,(-0.038123392208099474+0.039275936320842385j)
15,(-0.011252960206642204+0.02041410171449224j)
16,(0.007747428601501367+0.04507427750747545j)
17,(-0.01698411606577351+0.07701705740144925j)
18,(-0.06565756507267057+0.06964105909468005j)
19,(-0.08775314147200916+0.02311901208122074j)
20,(-0.0635777579868631-0.01641962883585419j)
21,(-0.027048943930618664-0.013236795207853768j)
22,(-0.02309924852907604+0.015799906094305947j)
23,(-0.05308027018358636+0.02395636392079514j)
24,(-0.07482707766294633-0.0070366900222357705j)
25,(-0.05589027530340712-0.045041568583617804j)
26,(-0.013640635106983788-0.04787152297291428j)
27,(0.006511283544671892-0.015178918648027296j)
28,(-0.013206521967170624+0.011888668162882959j)
29,(-0.04224053234614183+0.0017423467073650698j)
30,(-0.04061621236278265-0.02949597263902966j)
31,(-0.008480274792493084-0.03924606996219026j)
32,(0.014744945090327264-0.011822988194056572j)
33,(-0.00043396666676285417+0.022281428547849817j)
34,(-0.037398744507858406+0.024229409870215116j)
35,(-0.05444312442489412-0.005788468031295701j)
36,(-0.03601906285488096-0.029978601963661318j)
37,(-0.01064008515451134-0.020329853348267153j)
38,(-0.014250388333093805+0.007333359380867592j)
39,(-0.04546761385446647+0.014186079872260733j)
40,(-0.06806397840794616-0.012926317272928103j)
41,(-0.056441238890194666-0.04578623574323269j)
42,(-0.026742011308573514-0.05068375941547507j)
43,(-0.015342000815921351-0.030071527261851864j)
44,(-0.03277382878825855-0.017971322282120488j)
45,(-0.05128246938968392-0.035890648698763225j)
46,(-0.041066272650128424-0.06543040653227779j)
47,(-0.00873834945563698-0.07202884012953621j)
48,(0.010896653331811907-0.0493350149635349j)
49,(-0.0007341732697119189-0.027600336021044662j)
50,(-0.021944395234188-0.0351202400847733j)
51,(-0.01820540949935958-0.0615525560651821j)
52,(0.01321420261581803-0.07019829552558081j)
53,(0.03821872642078457-0.044657104527737225j)
54,(0.028007040289942498-0.011100669395908872j)
55,(-0.003955948684507132-0.007010458178391778j)
56,(-0.017233222777707592-0.0344352291686653j)
57,(0.005816431823803434-0.056395602694377864j)
58,(0.037495902431411224-0.04212080133143819j)
59,(0.03835946149711065-0.005565288674799974j)
60,(0.0060940378920774484+0.01107915521336969j)
61,(-0.021023122532140913-0.010743127491772836j)
62,(-0.01105044802132676-0.0428237507911904j)
63,(0.022175897151817933-0.04496731094329523j)
64,(0.036360483145457076-0.01489681516936335j)
65,(0.013759403811392214+0.008952927548971094j)
66,(-0.01618719550620635-0.004179519253435154j)
67,(-0.013559611554094148-0.03794952567479373j)
68,(0.021171258536625055-0.04841078221393656j)
69,(0.046142180701965914-0.019261514825202334j)
70,(0.029756017800434558+0.016062690348296004j)
71,(-0.008549503929170709+0.01457431233860838j)
72,(-0.020329309416081603-0.022176048586667392j)
73,(0.012252018261852588-0.047619909411445796j)
74,(0.05237691991840658-0.026060834195773565j)
75,(0.05143563210798087+0.022503196644461876j)
76,(0.008098519655846197+0.044524566510992236j)
77,(-0.028621446481868124+0.01683683440252213j)
78,(-0.017501800979386042-0.024855239718222795j)
79,(0.025250037637298543-0.028376195270067937j)
80,(0.04534176157780932+0.012187075021147612j)
81,(0.015876013161922338+0.049409612228541906j)
82,(-0.030281349898158033+0.03999755591531126j)
83,(-0.04065344847532665-0.002858350098929516j)
84,(-0.007026006939883703-0.025958402667299405j)
85,(0.024844615723004733-0.001334989030937794j)
86,(0.011618684498909949+0.03944305062075075j)
87,(-0.03404994212156154+0.04402173808024915j)
88,(-0.058519139634270995+0.0038737038692708606j)
89,(-0.03281434293176877-0.034403045107124136j)
90,(0.011223336178084022-0.025454797998030073j)
91,(0.01891292480484619+0.019237743618982173j)
92,(-0.020912021141701664+0.044573105420425176j)
93,(-0.06191013592502762+0.018303727846499026j)
94,(-0.05597151875481578-0.029802143924588353j)
95,(-0.01127067500168615-0.0437778508475863j)
96,(0.017734437002431692-0.008925161808054674j)
97,(-0.003853847719098521+0.0307951300448236j)
98,(-0.04956542370522318+0.02629469447144942j)
99,(-0.06423387715948564-0.017357540927594894j)
