times,overlaps
0,(-0.0014085938382466072+0.003651642212737775j)
1,(-0.006806777585466409-0.0012414222869496882j)
2,(-0.0026392331440235743-0.011461979067733887j)
3,(0.013161331496657887-0.012046794883849314j)
4,(0.023672182805642473+0.006522262109848454j)
5,(0.009599814520624434+0.029808284163079096j)
6,(-0.02336327336939307+0.02942379435156243j)
7,(-0.042655384915406803-0.0034981610973481604j)
8,(-0.022447376151197417-0.04075755409179867j)
9,(0.022864967978829503-0.04265725125486827j)
10,(0.04812179602979157-0.003121886527316502j)
11,(0.025661958924181157+0.038346514138042076j)
12,(-0.020806115810876907+0.03740566429687425j)
13,(-0.03936346448284955-0.004247106161752056j)
14,(-0.008437161996472011-0.037644295840535656j)
15,(0.03568910971646117-0.021083687728942452j)
16,(0.03775757351845082+0.029620937458056558j)
17,(-0.011956204110202096+0.055102466088932975j)
18,(-0.06175129397491614+0.01905156598236335j)
19,(-0.05342707897270106-0.04692057220545386j)
20,(0.011209362442218835-0.07388098130889512j)
21,(0.06828622528808903-0.030765386435135773j)
22,(0.05969271771776648+0.039539986746075735j)
23,(-0.0034236915002393868+0.06540496417103443j)
24,(-0.0528133115759779+0.024057635518921393j)
25,(-0.038119206380474675-0.03466909695813598j)
26,(0.018766390357669503-0.044797686953344434j)
27,(0.05017477146189786+0.002659368438305395j)
28,(0.019198883611451972+0.05145330545675241j)
29,(-0.03989294803443791+0.04452460347901017j)
30,(-0.06139904753480721-0.012371832441324462j)
31,(-0.021629163964273033-0.058472733750297406j)
32,(0.036404638558221535-0.046202478196762535j)
33,(0.052352768751404086+0.007835363923320564j)
34,(0.014289869495103816+0.04423042172315933j)
35,(-0.031864009569180396+0.02713514257908039j)
36,(-0.03583269625321638-0.01945105212930756j)
37,(0.003256736263909215-0.04248410207748614j)
38,(0.04081024786952459-0.0187616227075086j)
39,(0.038486304020182625+0.024084992701065736j)
40,(0.00304409896064641+0.04269331453718495j)
41,(-0.0274455110347614+0.024623313656600684j)
42,(-0.02777942953467794-0.00473017721101035j)
43,(-0.00823967861612164-0.015881309586337565j)
44,(0.004627438555229098-0.006229369122927948j)
45,(-1.9847223027016046e-06+0.00458465681757936j)
46,(-0.010230956863239516+0.00212962074966554j)
47,(-0.01140740363714099-0.008508925403998079j)
48,(-0.0034685141093863643-0.014709959184232003j)
49,(0.004321242658629437-0.013471473985264187j)
50,(0.008637154451392574-0.010727528463889954j)
51,(0.013915173395974867-0.008081441404791362j)
52,(0.020022347464764827+0.0003850705249461722j)
53,(0.0173367969717882+0.01537480760686837j)
54,(0.00036275636868681946+0.02398435600896425j)
55,(-0.01818436356831487+0.01287849874570575j)
56,(-0.016851992412582797-0.010624752396295971j)
57,(0.007374822458079916-0.01993822704218185j)
58,(0.02838293823643217+0.0012611752413944706j)
59,(0.0166685380717242+0.034414950879505385j)
60,(-0.023730817286189223+0.04081704082623429j)
61,(-0.05273369355622278+0.005333892875367919j)
62,(-0.03601849096181651-0.04074336834783592j)
63,(0.013351373925005131-0.0496106863361247j)
64,(0.04433059924130118-0.010732668322355213j)
65,(0.023324306904888327+0.0333374181928575j)
66,(-0.025563279166351198+0.03201759889936325j)
67,(-0.04454161399109469-0.01510494290709501j)
68,(-0.007339425333112735-0.054462689128362746j)
69,(0.047950222623818026-0.03753054087316002j)
70,(0.058962837335838174+0.022192548829089106j)
71,(0.009819803801408502+0.060755640409824264j)
72,(-0.04777544101418575+0.03425723068346479j)
73,(-0.04984754112173678-0.03005678450398272j)
74,(0.008212140770969163-0.06137668458567151j)
75,(0.06448314849272847-0.022913950562758266j)
76,(0.057454595563351384+0.04674478823347662j)
77,(-0.006821195528130786+0.07527438430023553j)
78,(-0.06201511527027131+0.035153132931668586j)
79,(-0.054533975416337574-0.028099934460526336j)
80,(-0.00046448893338616945-0.0481586706021525j)
81,(0.03582479696309088-0.010746472515763333j)
82,(0.015019740786641287+0.033944746355705775j)
83,(-0.03498358683088226+0.03050928017051973j)
84,(-0.053353564560828015-0.01946030659888258j)
85,(-0.015541619646214871-0.061175336476219894j)
86,(0.040712947555190344-0.0490005316907559j)
87,(0.05881869621247488+0.004346373851180455j)
88,(0.02449622403916388+0.04460770302117323j)
89,(-0.022805421584595736+0.03577375873994587j)
90,(-0.03612355314007072-0.005067185937866067j)
91,(-0.009582985020815522-0.03233932145221129j)
92,(0.022443479511220176-0.022681836107909394j)
93,(0.02777336679603661+0.005614601642866975j)
94,(0.00882022448244471+0.020108108315683507j)
95,(-0.007864671838806923+0.011054207698839377j)
96,(-0.00545313869423933-0.0038801545842794645j)
97,(0.007644625893615989-0.005550929258414839j)
98,(0.013725445542046666+0.005575764254145861j)
99,(0.00772040463046136+0.01583654478692476j)
