times,overlaps
0,(0.022493439783436767+0.05831204992717118j)
1,(-0.07372941772960934+0.028383778933549125j)
2,(-0.07234318151418455-0.08594513287153924j)
3,(0.05290159029736988-0.13640472086812605j)
4,(0.1713681170109858-0.0342817135399135j)
5,(0.13919400386123135+0.1371008193056066j)
6,(-0.034888019568708344+0.20438087157693868j)
7,(-0.18985820390890557+0.09099522333928335j)
8,(-0.17975062702020095-0.09890142850373321j)
9,(-0.023177320327329463-0.1901866417422522j)
10,(0.1251031234488826-0.11585893987437218j)
11,(0.14018490596979424+0.02841573043266457j)
12,(0.04460949241692705+0.10139699189410978j)
13,(-0.040889978488129156+0.0637912461951607j)
14,(-0.04047470520427103-0.0036639082217646488j)
15,(0.00646529432055117-0.013004230916419631j)
16,(0.014378658320931256+0.029724719113438935j)
17,(-0.03691468661655814+0.04695916107997483j)
18,(-0.0817919630586719-0.005440268644497627j)
19,(-0.05369621873329672-0.08209533478864348j)
20,(0.033635452631881314-0.10208795665714188j)
21,(0.10229122547254108-0.0409114992973093j)
22,(0.09569494521299798+0.047555317095217764j)
23,(0.030178926576330933+0.09435112568810325j)
24,(-0.03730404061001651+0.08103123164838541j)
25,(-0.07188980172530687+0.036807939081508104j)
26,(-0.07694588248176029-0.010107286874510518j)
27,(-0.0606766447268164-0.0547314369488751j)
28,(-0.0156137954783992-0.0900274116938291j)
29,(0.05535287722436117-0.08664288968666978j)
30,(0.11025384060930896-0.022625631752592006j)
31,(0.09470892657036065+0.07049671238578484j)
32,(0.006792707117908399+0.11754877765850391j)
33,(-0.08250631426350453+0.07382630950380435j)
34,(-0.09490961043913879-0.018729814376362054j)
35,(-0.030556058192175863-0.06983157407686269j)
36,(0.030292125750783497-0.040390232506375495j)
37,(0.021169522181780177+0.012841949988277536j)
38,(-0.028937438464708084+0.007934564990365588j)
39,(-0.029953783558454853-0.055108173023778594j)
40,(0.051412707972936955-0.08399039077087482j)
41,(0.13250543760386418-0.00530099029374507j)
42,(0.09868061491571692+0.12942660010942997j)
43,(-0.05516815930864882+0.1787352459536098j)
44,(-0.19346659264155996+0.0648118076857811j)
45,(-0.1723112666707146-0.12454676611570806j)
46,(0.0017678381675698442-0.21216418750412j)
47,(0.16712865813681949-0.11460432724884528j)
48,(0.17178123452416366+0.0675412034256779j)
49,(0.030839534657465785+0.15621067035109856j)
50,(-0.09718958808930551+0.084483253707839j)
51,(-0.08808312964255256-0.041110190751260364j)
52,(0.016386221070314625-0.07106531914111289j)
53,(0.06888896590270428+0.015140136573062474j)
54,(-0.004582195289213574+0.09182238896713285j)
55,(-0.11537955067831054+0.04141829785783408j)
56,(-0.11548121472717876-0.10013297338771726j)
57,(0.0260146473983716-0.1763476482418732j)
58,(0.17680943351402945-0.08560777259642312j)
59,(0.18033680314466272+0.09977345615259631j)
60,(0.024748713627547464+0.20515497529210006j)
61,(-0.14458880043823352+0.13545542029591762j)
62,(-0.17821859798661616-0.0324452449198283j)
63,(-0.06980909002682326-0.14039546061738578j)
64,(0.05685562175253334-0.11307591206611906j)
65,(0.09084851443194936-0.016224723308830277j)
66,(0.04053889693182613+0.03861809436938825j)
67,(-0.004098361183191193+0.019443594993609557j)
68,(0.010022139260788727-0.011150879787491633j)
69,(0.044151675435942325+0.009389748344036383j)
70,(0.029890891842798428+0.06345112524966998j)
71,(-0.03908678613244424+0.07967431520589655j)
72,(-0.09758415092384559+0.023450001659438613j)
73,(-0.08525565965577367-0.06126437919940378j)
74,(-0.011961528938357361-0.10258675797757977j)
75,(0.06047362660111027-0.0754764909688736j)
76,(0.08657829435191741-0.014176143734629184j)
77,(0.07029970082705131+0.037993627670260634j)
78,(0.03568541848365912+0.06860567579676087j)
79,(-0.00970357845884588+0.08159220347265003j)
80,(-0.06537742899174376+0.06579629338424241j)
81,(-0.10521596715149484+0.004936577130679409j)
82,(-0.08469926498733535-0.07987305556523953j)
83,(0.003921474281787955-0.12345148166038558j)
84,(0.098690181263423-0.0766925512174949j)
85,(0.11637361443288424+0.029007248385720295j)
86,(0.041549324933554704+0.09978969544717183j)
87,(-0.0488302194921176+0.07540912223403039j)
88,(-0.06632515058070305-0.003057990715379523j)
89,(-0.010956720090919133-0.03982488315906977j)
90,(0.030039451386354332+0.0013498178287407042j)
91,(-0.008958246040051365+0.05077324998401453j)
92,(-0.08275542799957074+0.017885406264195103j)
93,(-0.08061424896353966-0.08715518988908885j)
94,(0.03605013407792347-0.14587555726504395j)
95,(0.16578581199532905-0.062381350917071116j)
96,(0.16315829503034263+0.11156746573732632j)
97,(0.0031042791472815114+0.21051948782772j)
98,(-0.17380193458487986+0.126418937609285j)
99,(-0.1988946713217409-0.06852874883992476j)
