times,overlaps
0,(0.062424716012823275+0.003066729645463626j)
1,(0.045975934772695175+0.04233749427843929j)
2,(0.008191314261945509+0.06196089388204505j)
3,(-0.03339461154845877+0.05283038822048864j)
4,(-0.05948325452980545+0.01918312879960876j)
5,(-0.05796777887352242-0.02336635642265189j)
6,(-0.02955146435371005-0.05507232476073083j)
7,(0.012578661462805129-0.061221134225070854j)
8,(0.048871466069064985-0.038959335264609325j)
9,(0.06248471559668686+0.0013821421059935423j)
10,(0.04710097234031048+0.04108221518610335j)
11,(0.009859298836049732+0.06171745479571783j)
12,(-0.03195773384963907+0.053711760790311446j)
13,(-0.05894428889000663+0.020780298536148184j)
14,(-0.058576840582841044-0.021794580687235676j)
15,(-0.031025908963476255-0.05425534971770139j)
16,(0.01092307263882877-0.061538089701638224j)
17,(0.04780303447425812-0.04026313319965139j)
18,(0.06249926333648723-0.000303450813862325j)
19,(0.048191748312436396+0.0397970525867276j)
20,(0.011520111683292561+0.06142912197650611j)
21,(-0.030497609858959343+0.05455406302825396j)
22,(-0.05836244673870469+0.02236235252990761j)
23,(-0.05914329306527175-0.02020695141270405j)
24,(-0.032477785097693466-0.05339890893218742j)
25,(0.009259538291062599-0.061810281916816624j)
26,(0.04669983059877578-0.041537643433945975j)
27,(0.06246834865009069-0.0019888230013527207j)
28,(0.04924746925056715+0.03848294131708812j)
29,(0.013172544716130786+0.061096105159834255j)
30,(-0.029015301681405006+0.055356682237441356j)
31,(-0.05773815131218173+0.02392813998311565j)
32,(-0.059666724279091116-0.018604623452328606j)
33,(-0.03390603665092806-0.052503625385547405j)
34,(0.007589268486689359-0.06203751287597623j)
35,(0.04556265692127244-0.0427819388793267j)
36,(0.06239199402506911-0.0036727485042892007j)
37,(0.0502673672154873+0.0371408372714369j)
38,(0.014815395942560327+0.06071864658459645j)
39,(-0.027511887558902586+0.05611903458672746j)
40,(-0.05707185672754695+0.02547652193040377j)
41,(-0.06014675347656407-0.016988762351313358j)
42,(-0.03530962470244185-0.05157015031365243j)
43,(0.005913478192313081-0.062219617289638256j)
44,(0.04439234063028782-0.043995114426087285j)
45,(0.062270255002340597-0.005354002422811324j)
46,(0.051250700325877335+0.03577171670617895j)
47,(0.016447470340453574+0.060297020816951694j)
48,(-0.025988461085999462+0.05684056553537709j)
49,(-0.05636404765240632+0.027006372067296315j)
50,(-0.0605830314809049-0.015360543498968624j)
51,(-0.03668752827190923-0.050599162733170305j)
52,(0.004233386390182423-0.062356462693704956j)
53,(0.04318973302254439-0.045176287601366216j)
54,(0.06210322013577101-0.007031361800390053j)
55,(0.05219675329796311+0.0343765755297352j)
56,(0.01806758072682832+0.059831534550599294j)
57,(-0.02444613041437435+0.05752075023644422j)
58,(-0.055615238952314364+0.028516577569493815j)
59,(-0.06097524094026638-0.013721151273725155j)
60,(-0.03803874506208724-0.049591368947645695j)
61,(0.002550215191494518-0.062447949545818074j)
62,(0.041955708883705874-0.046324599211063675j)
63,(0.06189101092775668-0.008703606513413533j)
64,(0.053104837965818955+0.03295642857811119j)
65,(0.01967454862141205+0.059322526383690996j)
66,(-0.02288601744675995+0.05815909391854862j)
67,(-0.05482597531625554+0.030006039902349457j)
68,(-0.06132309655858901-0.012071778181606936j)
69,(-0.03936229218789389-0.0485475020337286j)
70,(0.0008651889474232087-0.06249401129776596j)
71,(0.0406911658520556-0.04743921396482593j)
72,(0.06163378174084425-0.010369520158715534j)
73,(0.053974293781943336+0.03151230887669851j)
74,(0.021267205103877758+0.05877036657253045j)
75,(-0.021309257020862706+0.05875513224577797j)
76,(-0.05399683086043144+0.031473675619950646j)
77,(-0.061626345303124976-0.010413623988795525j)
78,(-0.04065720689136453-0.047468321307929245j)
79,(-0.0008204666414848467-0.06249461444388797j)
80,(0.0393970237655408-0.04851932108364041j)
81,(0.061331719685445436-0.012027890938392526j)
82,(0.054804488297748706+0.030045266888844364j)
83,(0.022844391664126034+0.05817545676224668j)
84,(-0.01971699608387267+0.05930843165544455j)
85,(-0.05312840871065239+0.032918417153227235j)
86,(-0.06188476658849469-0.008747894848908505j)
87,(-0.0419225472419705-0.04635461177428496j)
88,(-0.002505525416891946-0.06244975854545265j)
89,(0.038074223992684425-0.04956413488960438j)
90,(0.06098504448373418-0.01367751254128275j)
91,(0.055594817623607413+0.02855636975173585j)
92,(0.02440496104499432+0.057538229694632695j)
93,(-0.018110392858167446+0.05981858967346876j)
94,(-0.05222134056360798+0.03433921358650594j)
95,(-0.062098172437144696-0.007075802425637067j)
96,(-0.04315739282178763-0.045207183553346145j)
97,(-0.004188761654588428-0.062359476230971406j)
98,(0.03672372874781956-0.05057289537743038j)
99,(0.0605940083098141-0.015317185020434148j)
