times,overlaps
0,(0.0625+0j)
1,(-0.026932482936235076+0.08437760415214389j)
2,(-0.13732064188478332-0.02079851777419894j)
3,(-0.03498638809082706-0.19019429329786958j)
4,(0.2083278083653402-0.13423108585414578j)
5,(0.25176977560032693+0.16625758557391837j)
6,(-0.05501094632821966+0.3509530781687341j)
7,(-0.39222865143764885+0.11358116835161673j)
8,(-0.3057747014689687-0.344427345924884j)
9,(0.19720498527444225-0.4718525958204062j)
10,(0.5596359385776244-0.03146060392858063j)
11,(0.2969222101724517+0.5303652637688074j)
12,(-0.37121434319712954+0.5375205951692599j)
13,(-0.6890806547329726-0.10179982891278194j)
14,(-0.22672629261019894-0.7016978257715843j)
15,(0.5551928011675482-0.5414198358622427j)
16,(0.7649901501900265+0.2679142467715873j)
17,(0.1048423670878044+0.8359550012181607j)
18,(-0.7254757791243083+0.4824459144421895j)
19,(-0.7774422318516767-0.4466617293730105j)
20,(0.05394817137309307-0.9168718614658438j)
21,(0.8612753308740877-0.3682073844841385j)
22,(0.7250776274192329+0.615832367630383j)
23,(-0.23020800080183562+0.9344697148192551j)
24,(-0.9464548649617416+0.21255934608325505j)
25,(-0.6150589174646099-0.7554672847055113j)
26,(0.40211282097125006-0.8880665696407904j)
27,(0.9714416077842201-0.03601953829113788j)
28,(0.462482978449904+0.8480661917813842j)
29,(-0.5473968908954079+0.7843582536790403j)
30,(-0.9334308649195397-0.13818357112300106j)
31,(-0.2877185795410755-0.8814980266465884j)
32,(0.6463465936375772-0.6368995879546095j)
33,(0.8362868612793009+0.2866740116407703j)
34,(0.112948296761538+0.8497586353310675j)
35,(-0.6852283944677853+0.46303999676827784j)
36,(-0.6906144945404011-0.3907234567227902j)
37,(0.040765439427394475-0.7556987869300762j)
38,(0.6588574567683094-0.28329515978894493j)
39,(0.5135704070252463+0.43791247327508476j)
40,(-0.1553219597496539+0.6108979232937879j)
41,(-0.5713349247572166+0.11951254072456652j)
42,(-0.32781866810390803-0.42314866941747004j)
43,(0.2161097250243524-0.43450558452091037j)
44,(0.4338741802124151+0.006517343104174362j)
45,(0.15780656995851142+0.3471941267179385j)
46,(-0.21359726314710553+0.24863938294555085j)
47,(-0.262176405527484-0.07734012677295445j)
48,(-0.0250830927259789-0.21695370916021656j)
49,(0.145745031940764-0.07477436436920194j)
50,(0.07457322421572593+0.08362516206107712j)
51,(-0.05569141034463887+0.04612213782243388j)
52,(-0.020631121497077822-0.06842703943171707j)
53,(0.10768953109000133-0.02633336241330104j)
54,(0.07684844584600176+0.1441698978943739j)
55,(-0.14470877869129767+0.16455629551217318j)
56,(-0.2616367104404858-0.08569804094166616j)
57,(-0.03627064903041119-0.3287790046114266j)
58,(0.32861465323473293-0.20049204996170666j)
59,(0.3663741057820224+0.23920946964810696j)
60,(-0.06324402031559662+0.48434293594221145j)
61,(-0.5100893144180836+0.16980590538167767j)
62,(-0.40910275151069886-0.4181756108605247j)
63,(0.2113589379162789-0.5941644611379663j)
64,(0.670041228033091-0.07687574941165626j)
65,(0.3874933229051748+0.6023958022008846j)
66,(-0.388889222768702+0.648154134375752j)
67,(-0.7903758202525307-0.06364167634430765j)
68,(-0.3074543794172364-0.7678325578801248j)
69,(0.570789267834156-0.6406426249644918j)
70,(0.8545467084278959+0.2319347905519122j)
71,(0.17894064797755835+0.8914106798918404j)
72,(-0.7332472136696834+0.5706476446596334j)
73,(-0.8526782470551374-0.40806635384983403j)
74,(-0.015774889430877657-0.9576359470328253j)
75,(0.8579175941812678-0.44552088872344364j)
76,(0.7858254561980653+0.5724865198554268j)
77,(-0.16253449034930337+0.9608505012573727j)
78,(-0.9316064460952278+0.2824979612360139j)
79,(-0.6652388711106412-0.7048497860421904j)
80,(0.3315851776015656-0.9025668760877323j)
81,(0.9446591752550944-0.10466005806904732j)
82,(0.507277524182294+0.786366824185774j)
83,(-0.46798749372700466+0.7892303958392222j)
84,(-0.8933605376218601-0.06501030338376593j)
85,(-0.3306970723066047-0.8051154872135722j)
86,(0.5543797881529535-0.6333056667730387j)
87,(0.7830512730731146+0.2062153470186884j)
88,(0.15654865054387898+0.7588044583098472j)
89,(-0.580493195787045+0.4539889726765617j)
90,(-0.6277405030285191-0.30143567376559993j)
91,(-0.006954799914211274-0.6531818477495682j)
92,(0.5424637493089928-0.27388791851927763j)
93,(0.44639013742390465+0.33808861589163336j)
94,(-0.09924328744596692+0.5005801213347769j)
95,(-0.4443788335762954+0.11503569460761016j)
96,(-0.2610467938613668-0.31147800532224906j)
97,(0.14893762663606697-0.3198092408507548j)
98,(0.29850998513533045+0.002571297512158892j)
99,(0.0954579358306472+0.2245162543373374j)
