times,overlaps
0,(0.0625+0j)
1,(-0.0269324829362351+0.08437760415214385j)
2,(-0.13732064188478335-0.02079851777419895j)
3,(-0.034986388090827235-0.1901942932978695j)
4,(0.20832780836534026-0.1342310858541457j)
5,(0.2517697756003271+0.16625758557391845j)
6,(-0.05501094632821894+0.3509530781687341j)
7,(-0.39222865143764873+0.11358116835161704j)
8,(-0.3057747014689687-0.3444273459248844j)
9,(0.19720498527444177-0.4718525958204059j)
10,(0.5596359385776246-0.03146060392858055j)
11,(0.2969222101724518+0.5303652637688074j)
12,(-0.37121434319712787+0.5375205951692615j)
13,(-0.6890806547329724-0.1017998289127808j)
14,(-0.2267262926102003-0.7016978257715841j)
15,(0.5551928011675482-0.5414198358622433j)
16,(0.7649901501900274+0.2679142467715892j)
17,(0.10484236708780348+0.8359550012181607j)
18,(-0.7254757791243067+0.48244591444218965j)
19,(-0.777442231851677-0.44666172937301163j)
20,(0.053948171373093476-0.9168718614658439j)
21,(0.8612753308740864-0.3682073844841452j)
22,(0.7250776274192325+0.6158323676303825j)
23,(-0.2302080008018317+0.9344697148192548j)
24,(-0.9464548649617417+0.21255934608326227j)
25,(-0.6150589174646127-0.7554672847055064j)
26,(0.4021128209712467-0.8880665696407906j)
27,(0.9714416077842196-0.036019538291138964j)
28,(0.46248297844990827+0.8480661917813828j)
29,(-0.54739689089541+0.7843582536790397j)
30,(-0.9334308649195397-0.13818357112300042j)
31,(-0.28771857954107055-0.8814980266465898j)
32,(0.6463465936375823-0.6368995879546093j)
33,(0.8362868612792995+0.2866740116407725j)
34,(0.11294829676153645+0.8497586353310675j)
35,(-0.6852283944677839+0.4630399967682737j)
36,(-0.6906144945404015-0.3907234567227885j)
37,(0.040765439427395224-0.7556987869300773j)
38,(0.658857456768312-0.2832951597889448j)
39,(0.5135704070252454+0.43791247327508576j)
40,(-0.15532195974965424+0.6108979232937872j)
41,(-0.5713349247572177+0.11951254072456104j)
42,(-0.32781866810391713-0.42314866941746926j)
43,(0.21610972502435577-0.4345055845209088j)
44,(0.43387418021241386+0.006517343104173866j)
45,(0.15780656995851272+0.34719412671793715j)
46,(-0.21359726314710278+0.24863938294555338j)
47,(-0.2621764055274849-0.07734012677295463j)
48,(-0.02508309272598281-0.2169537091602186j)
49,(0.14574503194076743-0.07477436436920053j)
50,(0.07457322421572651+0.08362516206107509j)
51,(-0.0556914103446384+0.04612213782243226j)
52,(-0.020631121497078353-0.0684270394317165j)
53,(0.10768953108999935-0.026333362413299963j)
54,(0.07684844584600238+0.1441698978943755j)
55,(-0.1447087786912954+0.16455629551217205j)
56,(-0.26163671044048553-0.08569804094166467j)
57,(-0.036270649030411294-0.32877900461142645j)
58,(0.3286146532347355-0.20049204996170653j)
59,(0.3663741057820207+0.23920946964811002j)
60,(-0.06324402031559649+0.48434293594221334j)
61,(-0.5100893144180858+0.16980590538167734j)
62,(-0.40910275151069525-0.4181756108605308j)
63,(0.21135893791627633-0.5941644611379706j)
64,(0.6700412280330963-0.07687574941165223j)
65,(0.387493322905169+0.6023958022008935j)
66,(-0.38888922276870574+0.6481541343757495j)
67,(-0.7903758202525346-0.06364167634430588j)
68,(-0.30745437941723297-0.7678325578801266j)
69,(0.5707892678341643-0.6406426249644874j)
70,(0.8545467084278902+0.2319347905519173j)
71,(0.17894064797757353+0.8914106798918366j)
72,(-0.7332472136696783+0.5706476446596346j)
73,(-0.8526782470551415-0.4080663538498273j)
74,(-0.015774889430876685-0.9576359470328297j)
75,(0.8579175941812736-0.44552088872343476j)
76,(0.7858254561980679+0.5724865198554323j)
77,(-0.1625344903492989+0.9608505012573783j)
78,(-0.9316064460952286+0.2824979612360111j)
79,(-0.6652388711106493-0.704849786042181j)
80,(0.3315851776015672-0.9025668760877321j)
81,(0.944659175255091-0.10466005806905154j)
82,(0.5072775241822816+0.7863668241857831j)
83,(-0.46798749372700743+0.7892303958392282j)
84,(-0.8933605376218728-0.06501030338374136j)
85,(-0.330697072306619-0.8051154872135675j)
86,(0.554379788152962-0.6333056667730315j)
87,(0.7830512730731161+0.20621534701869165j)
88,(0.1565486505438794+0.7588044583098442j)
89,(-0.5804931957870412+0.4539889726765608j)
90,(-0.6277405030285199-0.30143567376559344j)
91,(-0.00695479991422036-0.6531818477495637j)
92,(0.5424637493089866-0.2738879185192874j)
93,(0.446390137423906+0.3380886158916298j)
94,(-0.09924328744596644+0.5005801213347785j)
95,(-0.44437883357629665+0.11503569460761534j)
96,(-0.26104679386137997-0.3114780053222458j)
97,(0.1489376266360668-0.31980924085075013j)
98,(0.29850998513533644+0.00257129751216785j)
99,(0.09545793583065598+0.22451625433734357j)
