times,overlaps
0,(-0.026582444722761858+0.0843751891293245j)
1,(-0.13715221185428317-0.01991939404830468j)
2,(-0.03646382800550911-0.18939031341951726j)
3,(0.20627786790829622-0.13597653896388412j)
4,(0.2529747310603788+0.1625328642119206j)
5,(-0.049676175180678045+0.3504502974559113j)
6,(-0.38877692065238856+0.1197110292462005j)
7,(-0.3110273218452541-0.3371952588895617j)
8,(0.18635903366769624-0.4739365505286576j)
9,(0.5562875285748646-0.044358828964833535j)
10,(0.3089714640069142+0.5201967207423807j)
11,(-0.35445358975752606+0.5450222603133298j)
12,(-0.6884435753370429-0.08069570708946502j)
13,(-0.24798350810082362-0.6905358444681263j)
14,(0.5333751781483534-0.557373541631915j)
15,(0.7701771884157+0.23822851703427028j)
16,(0.1367634768864814+0.8265156687361833j)
17,(-0.7006531686972561+0.5091220805562663j)
18,(-0.7913356758932621-0.40962917047423897j)
19,(0.01156203854606218-0.9124739143554144j)
20,(0.83683585186894-0.4067307591880573j)
21,(0.7502005824881747+0.5742553375696778j)
22,(-0.1789147316728772+0.9386376680892147j)
23,(-0.9262289140956533+0.2628752864665077j)
24,(-0.6527275463509663-0.7129229872929641j)
25,(0.3449035125073707-0.9033297207087346j)
26,(0.9590714016364343-0.09613938858790264j)
27,(0.5122680643279288+0.8089223071238728j)
28,(-0.4885735436251956+0.8121267222628936j)
29,(-0.9319257707552993-0.07171199056668308j)
30,(-0.34748342305205326-0.8499015335877491j)
31,(0.5907577993713248-0.6766971253762638j)
32,(0.847190139228937+0.21875720941707827j)
33,(0.17871304027181345+0.829268661802918j)
34,(-0.6377975727465013+0.5126750743510612j)
35,(-0.7138064736371149-0.3267325013344915j)
36,(-0.025879072449627366-0.7481860672361251j)
37,(0.6233768987408596-0.3385135539941568j)
38,(0.5465040218645293+0.3832969791105944j)
39,(-0.09404127457524324+0.6162958425972307j)
40,(-0.5503514281106843+0.1745203378250519j)
41,(-0.36616304402833505-0.38255582118021414j)
42,(0.16622449812216272-0.4505532725667138j)
43,(0.4276267073743668-0.041649313291804976j)
44,(0.19537318018053224+0.32357344753311457j)
45,(-0.180430807429392+0.2707710991136265j)
46,(-0.2685962428424765-0.04280476091793661j)
47,(-0.05474022565482668-0.21108021713930622j)
48,(0.1328456416600665-0.09661819602390492j)
49,(0.0890955938156683+0.06860564943686093j)
50,(-0.041296533642787306+0.05609330630414808j)
51,(-0.029173286516594323-0.05450643774677999j)
52,(0.09174651187640223-0.03498349851008924j)
53,(0.08431052102363701+0.12295593308090154j)
54,(-0.1163429315846045+0.1666150634005313j)
55,(-0.2524232904539489-0.051586808117283924j)
56,(-0.07053148528159119-0.30313385459349673j)
57,(0.28477834224829474-0.22580129698832732j)
58,(0.37238205613483055+0.18084003650610112j)
59,(5.308809875192097e-05+0.4627033919724549j)
60,(-0.4577920828916514+0.22384095198626985j)
61,(-0.43826288899132804-0.3399025528007124j)
62,(0.11992011143298827-0.5856845038026565j)
63,(0.6182070335696546-0.1624706330187143j)
64,(0.4460555642773595+0.5114181968208652j)
65,(-0.27349086357560454+0.6615614603968055j)
66,(-0.7487910560697628+0.05311742122042369j)
67,(-0.39893113349229825-0.6734350842148286j)
68,(0.4387393435447387-0.6829321750999153j)
69,(0.8327343242542826+0.08803320439846882j)
70,(0.3034780194548386+0.8041061032953039j)
71,(-0.5942030533361777+0.6461983398635254j)
72,(-0.8584939953751523-0.24423293324680395j)
73,(-0.16968771244645878-0.8875801767065603j)
74,(0.7229376446569327-0.5548756523828994j)
75,(0.8242978464779752+0.3989399126251102j)
76,(0.01328740598360622+0.9169664444924156j)
77,(-0.8120010993744338+0.42238755873771006j)
78,(-0.7378653703481319-0.5333798990542593j)
79,(0.14426295233690764-0.8909547741097236j)
80,(0.8503559191889238-0.2678111783986867j)
81,(0.6113607244694925+0.6291881889481057j)
82,(-0.28152623796048903+0.8123510821438604j)
83,(-0.8315126247355121+0.11095842004777166j)
84,(-0.45926648761311983-0.6729892525475185j)
85,(0.38173235085106466-0.6888591899896053j)
86,(0.7568401524666863+0.030601844376567947j)
87,(0.29868114586187616+0.6602192807421496j)
88,(-0.43396921679479983+0.535450473258748j)
89,(-0.6361183131899923-0.14007901871794856j)
90,(-0.14937804056880885-0.5926443632544419j)
91,(0.43153892863939225-0.370660793074391j)
92,(0.4832918199453932+0.20411264673506407j)
93,(0.028825259248671173+0.47777653953677063j)
94,(-0.37464084081710625+0.21341492602029966j)
95,(-0.31593826375443707-0.21556502993165655j)
96,(0.04948005643089174-0.32921141574629814j)
97,(0.27068692224605384-0.08185961878542805j)
98,(0.15430982039038055+0.17375332882341687j)
99,(-0.07586384331154403+0.16532322810296532j)
