marked_states,fidelities
1,0.8795398343952662
2,0.013058713185559227
3,0.013218588687780464
4,0.010176396678716323
5,0.007853323563351946
6,0.006225099830684319
7,0.005063341699069377
8,0.004208919824212325
9,0.003562132260509102
10,0.003060060863908221
11,0.0026618686058264016
12,0.002340219536439319
13,0.0020762760883363757
14,0.0018567131344363174
15,0.001671883382371276
16,0.0015146570445001705
17,0.0013796677588605053
18,0.0012628101797473971
19,0.001160897597191501
20,0.0010714237898545105
21,0.0009923942792460483
22,0.0009222047303578182
23,0.0008595519729574747
24,0.0008033679748502739
25,0.0007527702143579475
26,0.0007070239367586489
27,0.0006655131354537813
28,0.0006277180159600213
29,0.000593197330846919
30,0.0005615744125566524
31,0.0005325260406995858
32,0.0005057735016088633
33,0.00048107535773988077
34,0.00045822156118706945
35,0.0004370286316474477
36,0.0004173356832248848
37,0.0003990011325830892
38,0.0003818999573913939
39,0.000365921401816845
40,0.00035096704719903883
41,0.0003369491826015029
42,0.00032378942283949736
43,0.0003114175317079495
44,0.0002997704161222791
45,0.00028879126322539373
46,0.0002784287975738023
47,0.0002686366395742339
48,0.00025937274961381195
49,0.000250598944976605
50,0.00024228047879535053
51,0.0002343856720488831
52,0.00022688559106142736
53,0.00021975376415089826
54,0.00021296593205831122
55,0.00020649982760796536
56,0.00020033498072911718
57,0.00019445254553911701
58,0.0001888351466653622
59,0.00018346674238501384
60,0.0001783325025003254
61,0.0001734186991542189
62,0.00016871260903419702
63,0.00016420242561981726
64,0.00015987718030577097
65,0.00015572667138384497
66,0.00015174139999676517
67,0.00014791251228845508
68,0.0001442317470713355
69,0.00014069138841432203
70,0.00013728422262700306
71,0.00013400349917783242
72,0.00013084289513833107
73,0.00012779648279249382
74,0.00012485870009176921
75,0.00012202432367199052
76,0.00011928844418017966
77,0.00011664644368681482
78,0.00011409397498349556
79,0.00011162694258735141
80,0.0001092414852924472
81,0.0001069339601251266
82,0.00010470092757501153
83,0.00010253913798646189
84,0.00010044551900692146
85,9.841716399890333e-05
86,9.645132133155345e-05
87,9.45453844759312e-05
88,9.269688283545324e-05
89,9.090347324947676e-05
90,8.916293211386161e-05
91,8.74731480675676e-05
92,8.583211519906458e-05
93,8.42379267305378e-05
94,8.268876914168031e-05
95,8.118291669827118e-05
96,7.971872635382539e-05
97,7.82946329953783e-05
98,7.690914500697587e-05
99,7.556084012671631e-05
100,7.424836157523794e-05
101,7.297041443541515e-05
102,7.172576226470896e-05
103,7.051322392315332e-05
104,6.933167060134914e-05
105,6.818002303411139e-05
106,6.705724888655799e-05
107,6.596236030048974e-05
108,6.48944115898638e-05
109,6.385249707504158e-05
110,6.283574904628803e-05
111,6.18433358477333e-05
112,6.087446007367591e-05
113,5.992835686971846e-05
114,5.900429233178935e-05
115,5.810156199661948e-05
116,5.7219489417714054e-05
117,5.635742482129649e-05
118,5.551474383709919e-05
119,5.469084629924277e-05
120,5.3885155112786436e-05
121,5.3097115181840665e-05
122,5.232619239542269e-05
123,5.157187266749943e-05
124,5.0833661027908015e-05
125,5.011108076106891e-05
126,4.9403672589616795e-05
127,4.871099390026731e-05
128,4.803261800941523e-05
129,4.736813346612828e-05
130,4.6717143390349975e-05
131,4.607926484427194e-05
132,4.5454128234964126e-05
133,4.484137674647563e-05
134,4.4240665799732916e-05
135,4.3651662538667015e-05
136,4.307404534109952e-05
137,4.250750335300954e-05
138,4.195173604488687e-05
139,4.140645278895881e-05
140,4.087137245614887e-05
141,4.034622303169517e-05
142,3.983074124842137e-05
143,3.932467223671155e-05
144,3.882776919029649e-05
145,3.8339793047011293e-05
146,3.786051218373148e-05
147,3.7389702124741727e-05
148,3.692714526283263e-05
149,3.647263059246045e-05
150,3.602595345434216e-05
151,3.55869152908931e-05
152,3.515532341194539e-05
153,3.473099077021688e-05
154,3.431373574602734e-05
155,3.3903381940787344e-05
156,3.3499757978805995e-05
157,3.310269731699095e-05
158,3.271203806203269e-05
159,3.232762279468649e-05
160,3.194929840078359e-05
161,3.1576915908620733e-05
162,3.121033033239454e-05
163,3.084940052135931e-05
164,3.0493989014405008e-05
165,3.0143961899760723e-05
166,2.979918867954531e-05
167,2.945954213889349e-05
168,2.9124898219399613e-05
169,2.879513589662785e-05
170,2.8470137061446736e-05
171,2.814978640495445e-05
172,2.7833971306765747e-05
173,2.7522581726439363e-05
174,2.7215510097827607e-05
175,2.69126512261359e-05
176,2.6613902187482332e-05
177,2.6319162230749037e-05
178,2.6028332681519867e-05
179,2.5741316847899575e-05
180,2.5458019928007157e-05
181,2.517834891893803e-05
182,2.490221252698381e-05
183,2.4629521078897662e-05
184,2.4360186433986488e-05
185,2.4094121896806048e-05
186,2.3831242130227106e-05
187,2.357146306863176e-05
188,2.3314701830987756e-05
189,2.306087663353726e-05
190,2.2809906701818608e-05
191,2.2561712181726278e-05
192,2.2316214049290494e-05
193,2.2073334018838325e-05
194,2.1832994449168737e-05
195,2.1595118247347138e-05
196,2.1359628769687643e-05
197,2.112644971945489e-05
198,2.0895505040769983e-05
199,2.0666718808155137e-05
200,2.0440015111093763e-05
201,2.021531793291443e-05
202,1.9992551023230575e-05
203,1.9771637763081926e-05
204,1.9552501021819185e-05
205,1.9335063004661533e-05
206,1.9119245089718012e-05
207,1.890496765311343e-05
208,1.8692149880677378e-05
209,1.848070956444866e-05
210,1.8270562882005268e-05
211,1.8061624156348017e-05
212,1.785380559373656e-05
213,1.764701699648955e-05
214,1.7441165447305346e-05
215,1.7236154961122665e-05
216,1.7031886099903816e-05
217,1.6828255544966632e-05
218,1.6625155620588045e-05
219,1.642247376152018e-05
220,1.622009191575885e-05
221,1.6017885872331477e-05
222,1.5815724501962286e-05
223,1.5613468896145003e-05
224,1.5410971387299357e-05
225,1.5208074429169544e-05
226,1.5004609312263917e-05
227,1.4800394683699774e-05
228,1.4595234833995542e-05
229,1.438891770473921e-05
230,1.4181212560100584e-05
231,1.3971867251106323e-05
232,1.3760604983442493e-05
