dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,0.0,10.0,9.696969696969697
96,10.833333333333336,20.833333333333336,14.065656565656568
128,10.833333333333336,20.833333333333336,18.30808080808081
160,21.66666666666667,31.66666666666667,22.47474747474748
192,21.66666666666667,31.66666666666667,26.51515151515152
224,21.66666666666667,31.66666666666667,30.55555555555556
256,32.5,42.5,34.621212121212125
288,32.5,42.5,38.56060606060606
320,32.5,42.5,42.5
352,43.33333333333334,53.33333333333334,46.363636363636374
384,43.33333333333334,53.33333333333334,50.30303030303031
416,54.16666666666668,64.16666666666669,54.16666666666668
448,54.16666666666667,64.16666666666667,58.00505050505051
480,54.16666666666667,64.16666666666667,61.843434343434346
512,65.0,75.0,65.70707070707071
544,65.0,75.0,69.44444444444444
576,65.0,75.0,73.28282828282828
608,75.83333333333334,85.83333333333334,77.04545454545456
640,75.83333333333334,85.83333333333334,80.8838383838384
672,75.83333333333334,85.83333333333334,84.62121212121212
704,86.66666666666669,96.66666666666669,88.38383838383841
736,86.66666666666669,96.66666666666669,92.12121212121214
768,86.66666666666669,96.66666666666669,95.85858585858588
800,97.49999999999999,107.49999999999999,99.520202020202
832,97.5,107.5,103.25757575757575
864,97.5,107.5,106.9949494949495
896,108.33333333333336,118.33333333333336,110.65656565656568
928,108.33333333333334,118.33333333333334,114.3939393939394
960,108.33333333333334,118.33333333333334,118.13131313131314
992,119.16666666666669,129.16666666666669,121.79292929292932
1024,119.16666666666669,129.16666666666669,125.42929292929294
