dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,18.5,19.5,19.47979797979798
96,27.5,28.5,27.833333333333332
128,35.5,36.5,35.93434343434343
160,43.5,44.5,43.9040404040404
192,51.5,52.5,51.792929292929294
224,59.5,60.5,59.621212121212125
256,66.5,67.5,67.4090909090909
288,74.5,75.5,75.15656565656566
320,82.5,83.5,82.88383838383838
352,90.5,91.5,90.57070707070707
384,97.5,98.5,98.24747474747475
416,105.5,106.5,105.9040404040404
448,113.5,114.5,113.55050505050505
480,120.5,121.5,121.16666666666667
512,128.5,129.5,128.7828282828283
544,135.5,136.5,136.38888888888889
576,143.5,144.5,143.9747474747475
608,151.5,152.5,151.56060606060606
640,158.5,159.5,159.12626262626262
672,166.5,167.5,166.6919191919192
704,173.5,174.5,174.24747474747474
736,181.5,182.5,181.7929292929293
768,188.5,189.5,189.33838383838383
800,196.5,197.5,196.87373737373738
832,203.5,204.5,204.4090909090909
864,211.5,212.5,211.93434343434345
896,218.5,219.5,219.44949494949495
928,226.5,227.5,226.96464646464648
960,233.5,234.5,234.47979797979798
992,241.5,242.5,241.9848484848485
1024,248.5,249.5,249.47979797979798
1056,256.5,257.5,256.97474747474746
1088,263.5,264.5,264.469696969697
1120,271.5,272.5,271.9646464646465
1152,278.5,279.5,279.449494949495
1184,286.5,287.5,286.9343434343434
1216,293.5,294.5,294.40909090909093
1248,301.5,302.5,301.8838383838384
1280,308.5,309.5,309.35858585858585
1312,316.5,317.5,316.8333333333333
1344,323.5,324.5,324.2979797979798
1376,331.5,332.5,331.76262626262627
1408,338.5,339.5,339.22727272727275
1440,346.5,347.5,346.69191919191917
1472,353.5,354.5,354.14646464646466
1504,361.5,362.5,361.6010101010101
1536,368.5,369.5,369.05555555555554
1568,376.5,377.5,376.510101010101
1600,383.5,384.5,383.95454545454544
