dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,25,570,35.092592592592595
96,25,570,45.18518518518519
128,25,570,65.37037037037038
160,25,570,85.55555555555556
192,25,570,105.74074074074075
224,25,570,125.92592592592594
256,25,570,146.11111111111111
288,25,570,166.2962962962963
320,25,570,186.4814814814815
352,25,570,206.66666666666669
384,25,570,226.85185185185188
416,25,570,247.03703703703707
448,25,570,267.22222222222223
480,25,570,287.40740740740745
512,25,570,317.6851851851852
544,25,570,337.8703703703704
576,25,570,358.0555555555556
608,25,570,378.24074074074076
640,25,570,398.425925925926
672,25,570,418.61111111111114
704,25,570,438.7962962962963
736,25,570,469.07407407407413
768,25,570,489.2592592592593
800,25,570,509.44444444444446
832,25,570,529.6296296296297
864,25,570,549.8148148148149
896,25,570,570.0
928,25,570,570.0
960,25,570,570.0
992,25,570,570.0
1024,25,570,570.0
