dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,7.277777777777778,8.277777777777779,7.459595959595959
96,9.936507936507935,10.936507936507935,10.360750360750359
128,12.158730158730162,13.158730158730162,13.08802308802309
160,15.492063492063494,16.492063492063494,15.704184704184707
192,18.15079365079365,19.15079365079365,18.231601731601728
224,20.373015873015877,21.373015873015877,20.6962481962482
256,22.595238095238088,23.595238095238088,23.110389610389603
288,25.253968253968253,26.253968253968253,25.476190476190474
320,27.47619047619048,28.47619047619048,27.809523809523814
352,29.698412698412696,30.698412698412696,30.1024531024531
384,31.920634920634924,32.920634920634924,32.36507936507937
416,34.579365079365076,35.579365079365076,34.60966810966811
448,36.8015873015873,37.8015873015873,36.82178932178932
480,39.023809523809526,40.023809523809526,39.023809523809526
512,41.246031746031754,42.246031746031754,41.246031746031754
544,42.79365079365079,43.79365079365079,43.34920634920635
576,45.01587301587301,46.01587301587301,45.490620490620486
608,47.23809523809523,48.23809523809523,47.611832611832604
640,49.46031746031746,50.46031746031746,49.712842712842715
672,51.0079365079365,52.0079365079365,51.81601731601731
704,53.230158730158735,54.230158730158735,53.8968253968254
736,55.45238095238096,56.45238095238096,55.96753246753248
768,57.67460317460318,58.67460317460318,58.018037518037524
800,59.22222222222221,60.22222222222221,60.07070707070706
832,61.44444444444443,62.44444444444443,62.10101010101008
864,63.66666666666666,64.66666666666666,64.13131313131312
896,65.88888888888887,66.88888888888887,66.15151515151513
928,67.43650793650794,68.43650793650794,68.15367965367966
960,69.65873015873015,70.65873015873015,70.15367965367965
992,71.88095238095238,72.88095238095238,72.15367965367965
1024,74.1031746031746,75.1031746031746,74.13347763347763
1056,75.65079365079366,76.65079365079366,76.10533910533911
1088,77.87301587301587,78.87301587301587,78.07503607503608
1120,78.98412698412699,79.98412698412699,79.98412698412699
1152,81.20634920634922,82.20634920634922,81.994227994228
1184,83.86507936507937,84.86507936507937,83.94588744588745
1216,84.97619047619047,85.97619047619047,85.88528138528137
1248,87.19841269841271,88.19841269841271,87.81457431457433
1280,89.42063492063491,90.42063492063491,89.74386724386723
1312,90.96825396825396,91.96825396825396,91.67532467532467
1344,93.19047619047619,94.19047619047619,93.59451659451659
1376,95.41269841269842,96.41269841269842,95.50360750360751
1408,96.5238095238095,97.5238095238095,97.41269841269839
1440,98.74603174603172,99.74603174603172,99.31168831168829
1472,100.2936507936508,101.2936507936508,101.21284271284271
1504,102.515873015873,103.515873015873,103.10173160173159
1536,104.73809523809527,105.73809523809527,104.99062049062051
1568,105.84920634920637,106.84920634920637,106.84920634920637
1600,108.50793650793652,109.50793650793652,108.75036075036077
1632,109.61904761904756,110.61904761904756,110.61904761904756
1664,111.84126984126983,112.84126984126983,112.4978354978355
1696,114.06349206349205,115.06349206349205,114.35642135642134
1728,115.61111111111113,116.61111111111113,116.22727272727275
1760,117.83333333333333,118.83333333333333,118.07575757575758
