dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,4,114,7.027522935779817
96,4,114,9.045871559633028
128,4,114,12.073394495412844
160,4,114,14.091743119266054
192,4,114,17.11926605504587
224,4,114,19.137614678899084
256,4,114,21.155963302752294
288,4,114,23.174311926605505
320,4,114,25.192660550458715
352,4,114,28.220183486238533
384,4,114,30.238532110091743
416,4,114,32.25688073394495
448,4,114,34.27522935779817
480,4,114,36.293577981651374
512,4,114,38.31192660550459
544,4,114,40.330275229357795
576,4,114,42.34862385321101
608,4,114,44.366972477064216
640,4,114,46.38532110091743
672,4,114,48.40366972477064
704,4,114,50.42201834862385
736,4,114,52.440366972477065
768,4,114,54.45871559633027
800,4,114,56.477064220183486
832,4,114,58.49541284403669
864,4,114,59.5045871559633
896,4,114,61.522935779816514
928,4,114,63.54128440366972
960,4,114,65.55963302752293
992,4,114,67.57798165137615
1024,4,114,69.59633027522935
1056,4,114,71.61467889908256
1088,4,114,73.63302752293578
1120,4,114,74.64220183486238
1152,4,114,76.66055045871559
1184,4,114,78.6788990825688
1216,4,114,80.69724770642202
1248,4,114,82.71559633027522
1280,4,114,83.72477064220183
1312,4,114,85.74311926605505
1344,4,114,87.76146788990825
1376,4,114,89.77981651376146
1408,4,114,91.79816513761467
1440,4,114,92.80733944954127
1472,4,114,94.82568807339449
1504,4,114,96.8440366972477
1536,4,114,98.86238532110092
1568,4,114,100.88073394495413
1600,4,114,101.88990825688073
1632,4,114,103.90825688073394
1664,4,114,105.92660550458714
1696,4,114,107.94495412844036
1728,4,114,108.95412844036697
1760,4,114,110.97247706422017
