dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,38.612132270987395,39.612132270987395,39.13738479623992
96,57.2844545923534,58.2844545923534,57.75920206710087
128,75.45802204941054,76.45802204941054,75.94287053425903
160,93.4305844813421,94.4305844813421,93.91543296619058
192,111.25239314442936,112.25239314442936,111.76754465958088
224,129.0277082497405,130.0277082497405,129.552960774993
256,146.7992656565464,147.7992656565464,147.2841141413949
288,164.4703205507894,165.4703205507894,164.9854720659409
320,182.14513314353766,183.14513314353766,182.66028465868916
352,199.81618803778076,200.81618803778076,200.31113753273027
384,217.43699167574246,218.43699167574246,217.95214319089396
416,235.06155301220934,236.06155301220934,235.57670452736085
448,252.68235665017102,253.68235665017102,253.1874071552215
480,270.3069179866378,271.3069179866378,270.8018674815873
512,287.87747036831814,288.87747036831814,288.39262188346964
544,305.4982740062798,306.4982740062798,305.9831224911283
576,323.0725840864652,324.0725840864652,323.57763459151573
608,340.64313646814566,341.64313646814566,341.15828798329716
640,358.21744654833117,359.21744654833117,358.73259806348267
672,375.7879989300113,376.7879989300113,376.3031504451628
704,393.36230901019667,394.36230901019667,393.87746052534817
736,410.93286139187717,411.93286139187717,411.4379118969277
768,428.5071714720625,429.5071714720625,429.002120967012
800,446.0777238537426,447.0777238537426,446.5625723385911
832,463.6482762354231,464.6482762354231,464.12302371017057
864,481.17233505932705,482.17233505932705,481.6773855643776
896,498.7428874410074,499.7428874410074,499.23783693595686
928,516.2669462649113,517.2669462649113,516.7820977800628
960,533.8374986465917,534.8374986465917,534.3324481415412
992,551.3615574704959,552.3615574704959,551.8868099957484
1024,568.9321098521759,569.9321098521759,569.4371603572264
1056,586.45616867608,587.45616867608,586.9814212013325
1088,604.0267210577605,605.0267210577605,604.52167055271
1120,621.5507798816643,622.5507798816643,622.0659313968158
1152,639.1213322633447,640.1213322633447,639.6061807481932
1184,656.6453910872486,657.6453910872486,657.1504415922991
1216,674.1656922126476,675.1656922126476,674.6909447379002
1248,691.7400022928332,692.7400022928332,692.2248507776817
1280,709.2603034182318,710.2603034182318,709.7653539232823
1312,726.784362242136,727.784362242136,727.2995137572875
1344,744.3549146238162,745.3549146238162,744.8397631086647
1376,761.8789734477202,762.8789734477202,762.3739229426698
1408,779.3992745731191,780.3992745731191,779.9144260882706
1440,796.9233333970233,797.9233333970233,797.4485859222758
