dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,34.03675538656528,44.03675538656528,39.112132270987395
96,53.060836501901136,63.060836501901136,57.7844545923534
128,71.08365019011406,81.08365019011406,75.95802204941054
160,89.106463878327,99.106463878327,93.93058448134208
192,107.12927756653991,117.12927756653991,111.75239314442936
224,124.15082382762992,134.15082382762992,129.52770824974047
256,142.17363751584284,152.17363751584284,147.29926565654637
288,160.19645120405573,170.19645120405573,164.9703205507894
320,177.21799746514577,187.21799746514577,182.64513314353772
352,195.24081115335866,205.24081115335866,200.31618803778076
384,213.26362484157158,223.26362484157158,217.93699167574243
416,230.28517110266162,240.28517110266162,235.56155301220937
448,248.30798479087454,258.30798479087457,253.18235665017104
480,265.32953105196447,275.32953105196447,270.8069179866378
512,283.35234474017744,293.35234474017744,288.37747036831814
544,301.37515842839036,311.37515842839036,305.9982740062798
576,318.3967046894803,328.3967046894803,323.5725840864652
608,336.4195183776934,346.4195183776934,341.14313646814566
640,353.44106463878336,363.44106463878336,358.7174465483311
672,371.4638783269962,381.4638783269962,376.2879989300113
704,388.4854245880862,398.4854245880862,393.8623090101967
736,406.5082382762992,416.5082382762992,411.4328613918771
768,423.5297845373891,433.5297845373891,429.00717147206245
800,441.552598225602,451.552598225602,446.5777238537427
832,459.575411913815,469.575411913815,464.14827623542305
864,476.5969581749049,486.5969581749049,481.672335059327
896,494.619771863118,504.619771863118,499.24288744100744
928,511.6413181242078,521.6413181242078,516.7669462649113
960,529.6641318124208,539.6641318124208,534.3374986465917
992,546.6856780735109,556.6856780735109,551.8615574704958
1024,564.7084917617237,574.7084917617237,569.432109852176
1056,581.7300380228137,591.7300380228137,586.95616867608
1088,599.7528517110268,609.7528517110268,604.5267210577605
1120,616.7743979721166,626.7743979721166,622.0507798816643
1152,634.7972116603296,644.7972116603296,639.6213322633447
1184,651.8187579214195,661.8187579214195,657.1453910872486
1216,669.8415716096325,679.8415716096325,674.6656922126476
1248,686.8631178707226,696.8631178707226,692.2400022928332
1280,704.8859315589352,714.8859315589352,709.7603034182317
1312,721.9074778200253,731.9074778200253,727.2843622421359
1344,739.9302915082383,749.9302915082383,744.8549146238162
1376,756.9518377693283,766.9518377693283,762.3789734477203
1408,774.9746514575413,784.9746514575413,779.8992745731192
1440,791.9961977186313,801.9961977186313,797.4233333970233
