dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,30,900,30.0
96,30,900,60.348837209302324
128,30,900,80.58139534883722
160,30,900,100.81395348837209
192,30,900,131.16279069767444
224,30,900,151.3953488372093
256,30,900,181.74418604651163
288,30,900,201.97674418604652
320,30,900,232.32558139534885
352,30,900,262.6744186046512
384,30,900,282.90697674418607
416,30,900,313.25581395348837
448,30,900,343.60465116279073
480,30,900,373.95348837209303
512,30,900,394.1860465116279
544,30,900,424.5348837209302
576,30,900,454.8837209302326
608,30,900,485.2325581395349
640,30,900,515.5813953488372
672,30,900,545.9302325581396
704,30,900,576.2790697674419
736,30,900,606.6279069767442
768,30,900,636.9767441860465
800,30,900,667.3255813953489
832,30,900,697.6744186046511
864,30,900,728.0232558139535
896,30,900,758.3720930232558
928,30,900,788.7209302325582
960,30,900,819.0697674418604
992,30,900,849.4186046511628
1024,30,900,879.7674418604652
